height,"5th percentile of propagation","25th percentile of propagation","50th percentile of propagation","75th percentile of propagation","95th percentile of propagation"
0,"24,690","29,925","168,072","261,153","301,031"
1,"2,645","14,573","145,216","234,238","274,422"
2,"1,281","3,925","125,742","219,589","259,681"
3,"1,445","5,323","98,334","189,816","229,916"
4,"3,877","5,530","76,985","176,042","216,141"
5,"1,432","2,587","60,469","145,267","185,476"
6,"5,276","10,461","47,995","123,696","163,702"
7,"2,966","4,672","15,556","113,005","152,969"
8,"2,383","2,991","4,416","102,440","142,245"
9,"1,887","2,444","14,740.5","91,790","131,622"
10,"1,810","2,330","3,316.5","51,158","90,898"
11,"1,543","1,989","18,767","52,368","75,157"
12,"1,398","1,998","11,903","38,644","61,516"
13,"1,660","2,220","10,690.5","36,020","58,842"
14,"1,261","1,781","2,132.5","16,304","39,068"
15,"1,350","1,956","2,112.5","2,360","17,394"
16,710,"1,299","1,510","1,802","16,670"
17,"1,893","2,383","2,776","3,200","10,105"
18,"2,222","2,805","3,215","6,196","7,491"
19,"1,079","1,681","1,997","2,229","2,282"
20,"1,048","1,458","1,766.5","1,980","2,238"
21,"1,260","1,808","2,153.5","2,519","2,639"
22,"1,313","1,777","2,094.5","2,966","3,206"
23,"1,245","1,700","2,471.5","3,334","3,365"
24,935,"1,618","1,717","1,883","2,045"
25,627,"1,186","1,515","2,165","2,649"
26,"1,087","1,696","2,095.5","2,332","2,383"
27,"1,013","1,618","1,875.5","2,215","2,271"
28,631,"1,261","1,453","1,680","1,740"
29,"1,309","1,851","2,128.5","2,415","7,293"
30,"2,131","2,685","3,178","3,542","3,666"
31,"3,176","3,668","4,443","5,083","5,393"
32,"1,372","1,852","2,338","3,454","20,155"
33,"3,757","4,131","5,908","6,423","11,370"
34,"2,458","2,832","3,584.5","4,877","5,391"
35,"2,751","3,148","3,640.5","4,346","4,862"
36,"3,992","4,594","4,621.5","4,821","6,191"
37,"1,019","1,490","1,848.5","2,949","3,804"
38,"3,109","3,475","3,715","4,073","5,791"
39,"1,444","1,961","2,193.5","3,055","3,168"
40,"2,181","2,547","2,603","2,989","3,024"
41,957,"1,600","1,668.5","1,834","2,228"
42,"2,103","2,490","2,706.5","3,287","3,699"
43,"1,081","1,533","1,950.5","2,339","2,478"
44,"1,441","1,902","2,013","2,542","4,678"
45,"1,192","1,645","1,809.5","1,893","1,904"
46,"1,229","1,663","2,254","2,435","36,943"
47,392,"2,294","3,057","5,589","19,060"
48,"1,503","2,017","2,245","2,296","2,990"
49,"1,746","2,104","2,338.5","2,939","4,034"
50,"3,112","3,462","3,876.5","4,092","4,096"
51,"3,688","4,109","4,151","4,213","4,282"
52,654,"1,261","1,806","20,992","26,946"
53,953,"4,802","7,973","10,121","22,058"
54,"1,584","2,530","16,847","38,946","39,034"
55,"1,796","2,308","6,576","22,500","28,373"
56,"2,472","3,105","3,638","4,098","10,172"
57,"2,907","3,391","3,696","5,106","5,304"
58,"2,909","3,537","3,900.5","4,162","5,671"
59,"1,566","1,911","2,216","2,670","3,946"
60,"1,096","1,869","2,060","22,136","38,767"
61,865,"1,648","5,966","10,129","26,331"
62,"1,215","1,757","3,670","8,208","8,756"
63,634,"1,155","2,240","5,405","5,926"
64,"2,131","2,639","3,257","4,560","7,435"
65,"1,297","2,567","3,021.5","3,802","3,911"
66,"1,331","3,094","5,692.5","8,316","18,514"
67,"9,833","11,856","13,415","23,856","31,633"
68,"1,639","2,381","4,789","7,104","12,648"
69,"5,371","5,700","6,793","7,743","9,502"
70,829,"1,369","2,931.5","3,465","4,333"
71,"1,659","1,996","2,868.5","3,362","5,801"
72,"1,006","1,715","2,769.5","3,220","5,522"
73,"5,372","5,848","7,131","29,904","37,863"
74,"6,095","6,747","8,777","13,058","21,692"
75,"2,937","3,492","4,267","5,412","6,609"
76,"2,007","2,498","2,787","3,713","5,723"
77,474,"1,209","3,363","4,393","5,419"
78,704,"1,373","4,061","5,169","8,839"
79,"2,573","3,008","3,322","8,004","20,461"
80,"1,287","1,782","2,902","7,428","12,881"
81,"4,920","5,575","6,153.5","7,559","8,188"
82,994,"3,419","4,463","23,132","36,380"
83,806,"2,196","3,172","3,475","16,740"
84,762,"1,365","2,873.5","4,508","9,617"
85,"16,671","17,213","17,759","19,089","24,875"
86,"4,139","5,087","6,549","36,226","44,513"
87,"1,502","3,499","3,928","4,675","11,853"
88,"2,722","3,482","5,358.5","8,440","10,662"
89,"3,797","4,481","5,307","6,479","11,607"
90,"1,636","2,510","3,793","4,483","5,143"
91,"4,236.3","6,515","38,526.5","56,856","79,328.1"
92,"1,365","6,696","22,095.5","49,250","55,944"
93,452,"5,090","14,444.5","40,341","51,604"
94,"8,001","8,227","11,057","13,233","20,576"
95,"1,515","2,692","2,767","7,182","13,544"
96,"4,131","5,164","5,208","6,596","6,952"
97,635,"1,320","3,653.5","10,491","13,271"
98,985,"1,596","1,623","17,633","23,154"
99,425,950,"6,220","15,888","28,939"
100,"8,745","9,781","12,122","47,461","53,184"
101,"5,560","6,700","10,913","15,104","17,106"
102,"1,503","5,067.5","8,670","10,161","17,303"
103,"3,953","5,158","5,645","7,788","8,153"
104,"1,056","2,429","3,384","3,864","14,161"
105,"4,010","4,010","5,325","8,491","11,541"
106,"2,406","3,116","4,641","5,260","7,418"
107,"1,212","2,445","4,284.5","5,283","7,165"
108,"7,515","9,178","9,965","11,331","12,044"
109,"1,778","2,935","5,321","6,641","10,836"
110,"3,971","4,646","5,760.5","7,318","7,476"
111,"5,979","7,332","7,366","9,983","10,869"
112,"4,026","4,866","5,028","12,008","13,478"
113,"1,523","2,376","5,580","7,161","7,513"
114,639,639,"3,261","4,176","4,516"
115,"2,679","3,679","7,212","21,461","43,423"
116,"5,087","6,230","8,900","22,948","32,594"
117,"2,227","3,151","11,700","11,803","12,138"
118,882,"2,014","5,695","11,286","27,779"
119,"1,322","4,073","7,221.5","66,277","81,858"
120,"4,063","5,231","35,849","79,907.5","153,022"
121,"20,551","23,878","42,190","65,973","136,940"
122,"33,039","54,031","54,037","81,166","96,349"
123,"4,984","11,098","32,441.5","59,675","66,761"
124,"1,567","26,515","78,499","151,996","204,036"
125,"28,553","32,156","40,592","76,421.5","122,862"
126,"6,327","13,446","23,352","60,489","77,089"
127,"8,491","14,933","15,206","43,890","127,030"
128,"1,549","3,405","15,646","27,116","110,943"
129,"2,549","8,002.5","11,796.5","100,484","147,633"
130,"5,397","6,068","9,763","12,247","127,274"
131,"5,361","9,559.5","11,827","13,439","101,692"
132,"4,994","9,267","9,391","12,225","61,377"
133,"3,130","8,113","9,016","12,649","31,040"
134,"3,018","9,896","12,385","71,931","95,802"
135,"4,794","6,633","16,958","46,439","67,967"
136,"6,802","15,647.5","17,386.5","26,232.5","36,413"
137,"3,095","17,694","23,453","63,917","77,517"
138,"3,129","3,800","8,574","16,996","31,765"
139,"3,355","8,258","11,383","21,199","36,976"
140,"1,644","1,644","3,969","12,586","49,247"
141,"3,392","5,190","5,300.5","34,537.5","99,880"
142,"1,128","2,428","3,387.5","8,413","100,279"
143,"2,228","3,824","3,879","4,154","95,733"
144,"1,047","2,501","2,850.5","3,268.5","97,237"
145,938,"1,351","1,804","2,285.5","92,556"
146,"1,735","3,412","3,889","4,281","79,509"
147,"2,773","5,940","5,976","6,602","57,917"
148,"3,116","5,079","5,175","7,454","59,132"
149,844,"2,219","3,144.5","3,480","42,531"
150,"1,932","1,932","4,027","4,779","32,663"
151,"2,644","4,144","4,360","4,922","28,558"
152,"1,633","3,687","3,690","4,019","14,424"
153,"1,804","3,190","3,193","5,329","22,601"
154,"1,810","3,547","3,936.5","4,121","14,857"
155,"1,417","1,417","4,219","4,627","19,385"
156,"5,158","8,490","8,966","23,388","24,152"
157,"2,406","6,350","6,804","9,028","18,920"
158,"2,706","4,342","5,263.5","7,634.5","14,781"
159,"1,030","2,230","3,470.5","4,314.5","8,726"
160,"1,731","2,980","3,625","4,069","4,950"
161,"1,156","2,278","2,717","3,179.5","3,401"
162,"1,805","2,786","3,102","3,439","3,501"
163,"2,638","4,642","4,955","5,325","7,167"
164,"1,828.1","4,665","11,482","50,002","62,382"
165,"1,489","3,589","5,068.5","36,869","48,917"
166,"1,859","4,453","5,258","11,157","22,293"
167,"2,869","5,251.5","6,221.5","8,659.5","11,020"
168,"1,515","2,224","3,573.5","4,677","5,416"
169,"1,045","1,866","2,346","2,622.5","3,475"
170,"3,709","6,470","6,522","7,251","7,967"
171,814,814,"2,627","3,047","4,996"
172,"2,589","4,059","4,382","4,621","5,532"
173,"2,027","4,107","4,271","5,284","5,717"
174,"1,728","3,295","4,214","4,598","4,674"
175,"2,361","4,411","4,678","5,442","5,837"
176,"1,339","5,090","17,192","37,255","56,321.6"
177,"3,479","6,352.5","26,174.5","44,425","48,437"
178,"1,381","2,466","9,271","29,379","30,796"
179,"1,952","3,988","7,923","8,331","9,605"
180,"2,293","3,422","3,451","4,530","4,615"
181,"1,654","2,472","2,917.5","3,624","3,871"
182,"1,672","1,672","5,473","5,834","5,915"
183,"1,192","1,882","2,187","4,010","4,153"
184,"1,108","2,369","2,544.5","3,806","3,870"
185,"3,095","4,339","4,340","5,119","5,487"
186,"1,425","1,838","2,184","2,698","2,922"
187,"1,403","1,900.5","2,431","2,931","6,975"
188,985,"1,351","1,960","2,168","2,432"
189,"1,366","1,672.5","2,099.5","2,428","3,056"
190,340,860,"946.5","1,009","1,357"
191,"1,408","1,840.5","1,882","1,936.5","2,329"
192,"1,123","1,519","1,640","1,803","2,052"
193,"1,923","2,100.5","2,325","2,898","3,720"
194,222,409,860,"930.5","1,278"
195,"1,044","1,424","1,600","1,745","2,224"
196,637,"1,127","1,230.5","1,374","1,738"
197,478,881,"1,019","1,187","1,657"
198,"1,438","1,661.5","1,895.5","2,156.5","2,588"
199,738,931,"1,347","1,516","1,791"
200,837,"1,223","1,403","1,482.5","1,957"
201,985,"1,468.5","1,709","2,085","3,488"
202,"1,370","1,692","1,804.5","1,913","2,248"
203,470,925,981,"1,174","1,644"
204,587,"770.5","1,012","1,214.5","1,713"
205,379,748,"1,163.5","1,328","1,648"
206,"1,598","2,034","2,134.5","2,239.5","2,277"
207,446,940,"1,060.5","1,173","1,578"
208,445,"878.5","904.5","968.5","1,369"
209,632,791,981,"1,102","1,543"
210,214,575,"1,034.5","1,379","2,672"
211,"1,330","1,677","1,777","1,906.5","2,066"
212,"1,198","1,673.5","1,787","2,005","2,222"
213,843,"1,037","1,632.5","2,177","2,438"
214,769,"1,187","1,229","1,299","1,833"
215,"1,092","1,416","1,609","1,707","2,157"
216,595,"777.5","1,030","1,375.5","3,735"
217,"1,290","1,784","1,868","1,952.5","2,426"
218,"1,232","1,636","1,940.5","15,315","21,913"
219,"1,023","1,245.5","1,552","1,870.5","8,239"
220,558,952,"1,052","1,117","1,999"
221,"1,369","1,692","1,795","1,836","2,257"
222,703,"1,138","1,189","1,455","1,909"
223,"1,906","2,280","2,574","2,763","3,283"
224,810,"1,175","1,356","1,410","1,868"
225,"1,321","1,681","1,785","2,016","2,383"
226,"1,294","1,750","1,766","1,980","2,545"
227,552,924,981,"1,157","1,415"
228,870,"1,385","1,519","1,584","1,654"
229,"1,147","1,596","1,780","2,035","2,277"
230,916,"1,281","1,528","1,544","1,758"
231,"1,255","1,792","1,849","2,002","2,428"
232,495,851,873,"1,193","1,550"
233,961,"1,314","1,772","1,825","2,148"
234,"1,572","2,038","2,139","2,168","2,291"
235,"1,079","1,462","1,589","1,630","2,154"
236,"1,135","1,563","1,701","1,776","2,134"
237,427,806,832,"1,076","1,626"
238,"1,007","1,327","1,495","1,638","1,886"
239,3,"1,341","1,767","1,813","3,863"
240,600,935,"1,006","1,231","1,600"
241,"1,081","1,511","1,817","2,250","3,054"
242,703,"1,114","1,160","1,301","1,706"
243,572,969,"1,009","1,283","1,542"
244,772,"1,194","1,498.5","25,570","28,856"
245,218,586,882,"1,721","4,973"
246,400,994,"1,087","1,124","1,431"
247,310,716,930,"1,032","1,398"
248,659,"1,018","1,047","1,215","1,605"
249,971,"1,342","1,494","1,567","1,740"
250,894,"1,288","1,298","1,487","1,883"
251,514,876,991,"1,063","1,428"
252,699,"1,085","1,227","1,234","1,711"
253,771,"1,225","1,238","1,358","1,823"
254,"1,707","2,134","2,483","2,979","2,992"
255,832,"1,246","1,477","1,590","1,872"
256,906,"1,231","1,420","1,525","1,878"
257,817,"1,258","1,326","1,474","1,922"
258,"2,870","3,252","3,353","3,388","3,843"
259,608,"1,038","1,244","1,357","1,463"
260,605,931,"1,040","1,251","1,540"
261,634,949,"1,191","2,282","2,358"
262,"1,018","1,436","1,525","1,644","2,065"
263,"1,102","1,505","1,528","1,627","2,176"
264,269,616,829,862,"1,301"
265,"1,319","1,627","1,631","1,998","2,525"
266,612,"1,066","1,237","1,357","1,738"
267,"1,397","1,807","1,947","2,084","2,257"
268,1,653,"1,040","1,306","1,630"
269,587,"1,147","1,292","1,696","1,912"
270,588,921,966,"1,190","1,645"
271,627,994,"1,703","2,014","3,797"
272,494,829,"1,086","1,162","1,411"
273,"2,794","3,321","3,655","3,663","3,963"
274,675,"1,164","1,390","1,404","1,884"
275,"3,580","4,040","4,069","4,400","4,818"
276,539,932,962,"1,015","1,373"
277,960,"1,330","1,617","1,741","2,111"
278,"1,314","1,916","2,135","2,206","2,562"
279,589,926,"1,208","1,259","1,274"
280,491,920,"1,201","1,218","1,584"
281,762,"1,201","1,229","1,352","1,750"
282,"1,046","1,378","1,449","1,663","2,034"
283,692,"1,245","1,374","1,483","2,114"
284,630,997,"1,176","1,252","1,792"
285,"1,484","1,967","2,296","2,365","2,429"
286,"1,234","1,664","1,759","1,856","2,453"
287,"1,258","1,636","1,709","1,785","2,275"
288,"1,063","1,494","1,704","1,777","2,077"
289,"1,154","1,565","1,692","2,089","2,297"
290,"1,107","1,647","1,825","1,872","2,297"
291,861,"1,432","1,568","1,649","1,654"
292,978,"1,489","1,501","1,736","2,333"
293,"1,125","1,506","1,680","1,797","2,305"
294,592,"1,040","1,121","1,190","1,809"
295,660,"1,014","1,133","1,435","1,713"
296,"1,437","1,849","2,147","8,795","13,715"
297,953,"1,200","1,538.5","2,056","7,041"
298,289,724,845,"1,292","1,565"
299,"1,030","1,445","1,452","1,560","2,262"
300,896,"1,341","1,536","1,968","2,229"
301,335,731,867,"1,246","1,515"
302,"1,021","1,403","1,560","41,060","55,761"
303,833,"1,339","2,001","6,302","20,046"
304,365,848,867,"1,338","1,538"
305,791,"1,244","1,422","1,458","1,754"
306,"1,254","1,661","1,877","2,712","2,744"
307,729,"1,103","1,405","2,353","3,437"
308,"1,258","1,657","1,670","1,971","2,320"
309,"1,491","2,042","2,164","2,194","2,301"
